d,h,od,dit,prd
7,9,PtAuteuil-StGermainLay,34.0,0
7,9,PtAuteuil-Versailles-Cht,34.8,0
7,9,PtChatillon-Versailles-Cht,38.5,0
7,9,StGermainLay-PontNeuilly,20.2,0
7,9,StGermainLay-PtAuteuil,37.2,0
7,9,Versailles-Cht-PtAuteuil,33.2,0
7,9,Versailles-Cht-PtChatillon,40.5,0
7,10,PontNeuilly-StGermainLay,22.0,1
7,10,PtAuteuil-StGermainLay,33.8,1
7,10,PtAuteuil-Versailles-Cht,32.2,1
7,10,PtChatillon-Versailles-Cht,35.5,1
7,10,StGermainLay-PontNeuilly,19.2,1
7,10,StGermainLay-PtAuteuil,34.2,1
7,10,Versailles-Cht-PtAuteuil,32.5,1
7,10,Versailles-Cht-PtChatillon,43.8,1
7,11,PontNeuilly-StGermainLay,24.0,1
7,11,PtAuteuil-StGermainLay,36.5,1
7,11,PtAuteuil-Versailles-Cht,33.5,1
7,11,PtChatillon-Versailles-Cht,37.2,1
7,11,StGermainLay-PontNeuilly,20.8,1
7,11,StGermainLay-PtAuteuil,38.5,1
7,11,Versailles-Cht-PtAuteuil,31.2,1
7,11,Versailles-Cht-PtChatillon,44.8,1
7,12,PontNeuilly-StGermainLay,25.2,1
7,12,PtAuteuil-StGermainLay,36.5,1
7,12,PtAuteuil-Versailles-Cht,35.8,1
7,12,PtChatillon-Versailles-Cht,34.8,1
7,12,StGermainLay-PontNeuilly,20.2,1
7,12,StGermainLay-PtAuteuil,45.8,1
7,12,Versailles-Cht-PtAuteuil,34.0,1
7,12,Versailles-Cht-PtChatillon,44.5,1
7,13,PontNeuilly-StGermainLay,26.5,1
7,13,PtAuteuil-StGermainLay,39.0,1
7,13,PtAuteuil-Versailles-Cht,36.5,1
7,13,PtChatillon-Versailles-Cht,39.5,1
7,13,StGermainLay-PontNeuilly,18.8,1
7,13,StGermainLay-PtAuteuil,42.5,1
7,13,Versailles-Cht-PtAuteuil,33.8,1
7,13,Versailles-Cht-PtChatillon,51.8,1
7,14,PontNeuilly-StGermainLay,29.5,1
7,14,PtAuteuil-StGermainLay,39.0,1
7,14,PtAuteuil-Versailles-Cht,41.2,1
7,14,PtChatillon-Versailles-Cht,44.5,1
7,14,StGermainLay-PontNeuilly,19.5,1
7,14,StGermainLay-PtAuteuil,45.0,1
7,14,Versailles-Cht-PtAuteuil,35.5,1
7,14,Versailles-Cht-PtChatillon,57.2,1
7,15,PontNeuilly-StGermainLay,31.0,1
7,15,PtAuteuil-StGermainLay,48.5,1
7,15,PtAuteuil-Versailles-Cht,40.5,1
7,15,PtChatillon-Versailles-Cht,43.0,1
7,15,StGermainLay-PontNeuilly,19.2,1
7,15,StGermainLay-PtAuteuil,42.0,1
7,15,Versailles-Cht-PtAuteuil,36.0,1
7,15,Versailles-Cht-PtChatillon,55.8,1
7,16,PontNeuilly-StGermainLay,35.0,2
7,16,PtAuteuil-StGermainLay,52.0,2
7,16,PtAuteuil-Versailles-Cht,48.2,2
7,16,PtChatillon-Versailles-Cht,51.2,2
7,16,StGermainLay-PontNeuilly,20.0,2
7,16,StGermainLay-PtAuteuil,41.8,2
7,16,Versailles-Cht-PtAuteuil,34.5,2
7,16,Versailles-Cht-PtChatillon,60.0,2
7,17,PontNeuilly-StGermainLay,42.2,2
7,17,PtAuteuil-StGermainLay,63.5,2
7,17,PtAuteuil-Versailles-Cht,51.0,2
7,17,PtChatillon-Versailles-Cht,63.2,2
7,17,StGermainLay-PontNeuilly,20.2,2
7,17,StGermainLay-PtAuteuil,41.0,2
7,17,Versailles-Cht-PtAuteuil,38.8,2
7,17,Versailles-Cht-PtChatillon,60.0,2
7,18,PontNeuilly-StGermainLay,38.2,2
7,18,PtAuteuil-StGermainLay,63.2,2
7,18,PtAuteuil-Versailles-Cht,46.5,2
7,18,PtChatillon-Versailles-Cht,53.5,2
7,18,StGermainLay-PontNeuilly,21.0,2
7,18,StGermainLay-PtAuteuil,43.0,2
7,18,Versailles-Cht-PtAuteuil,40.0,2
7,18,Versailles-Cht-PtChatillon,62.2,2
7,19,PontNeuilly-StGermainLay,30.2,2
7,19,PtAuteuil-StGermainLay,52.8,2
7,19,PtAuteuil-Versailles-Cht,46.0,2
7,19,PtChatillon-Versailles-Cht,52.5,2
7,19,StGermainLay-PontNeuilly,20.2,2
7,19,StGermainLay-PtAuteuil,42.0,2
7,19,Versailles-Cht-PtAuteuil,37.5,2
7,19,Versailles-Cht-PtChatillon,51.0,2
7,20,PontNeuilly-StGermainLay,24.0,-1
7,20,PtAuteuil-StGermainLay,43.0,-1
7,20,PtAuteuil-Versailles-Cht,38.0,-1
7,20,PtChatillon-Versailles-Cht,40.2,-1
7,20,StGermainLay-PontNeuilly,19.5,-1
7,20,StGermainLay-PtAuteuil,37.5,-1
7,20,Versailles-Cht-PtAuteuil,34.0,-1
7,20,Versailles-Cht-PtChatillon,42.8,-1
7,21,PontNeuilly-StGermainLay,20.2,-1
7,21,PtAuteuil-StGermainLay,31.8,-1
7,21,PtAuteuil-Versailles-Cht,30.0,-1
7,21,PtChatillon-Versailles-Cht,33.5,-1
7,21,StGermainLay-PontNeuilly,18.0,-1
7,21,StGermainLay-PtAuteuil,31.0,-1
7,21,Versailles-Cht-PtAuteuil,27.8,-1
7,21,Versailles-Cht-PtChatillon,31.0,-1
8,6,PontNeuilly-StGermainLay,18.8,0
8,6,PtAuteuil-StGermainLay,29.5,0
8,6,PtAuteuil-Versailles-Cht,24.5,0
8,6,PtChatillon-Versailles-Cht,30.5,0
8,6,StGermainLay-PontNeuilly,16.0,0
8,6,StGermainLay-PtAuteuil,30.0,0
8,6,Versailles-Cht-PtAuteuil,25.0,0
8,6,Versailles-Cht-PtChatillon,27.8,0
8,7,PontNeuilly-StGermainLay,19.0,0
8,7,PtAuteuil-StGermainLay,29.2,0
8,7,PtAuteuil-Versailles-Cht,26.5,0
8,7,PtChatillon-Versailles-Cht,30.5,0
8,7,StGermainLay-PontNeuilly,16.5,0
8,7,StGermainLay-PtAuteuil,27.2,0
8,7,Versailles-Cht-PtAuteuil,22.2,0
8,7,Versailles-Cht-PtChatillon,25.0,0
8,8,PontNeuilly-StGermainLay,20.0,0
8,8,PtAuteuil-StGermainLay,27.2,0
8,8,PtAuteuil-Versailles-Cht,27.8,0
8,8,PtChatillon-Versailles-Cht,31.0,0
8,8,StGermainLay-PontNeuilly,17.2,0
8,8,StGermainLay-PtAuteuil,29.5,0
8,8,Versailles-Cht-PtAuteuil,25.5,0
8,8,Versailles-Cht-PtChatillon,31.2,0
8,9,PontNeuilly-StGermainLay,21.8,0
